username,created_at,lng,lat,text,,,,
federicoalves, Sun Jan 24 03:48:26 +0000 2021,-83.804475,27.698682, La mia fue la primera a la 1 AM. ,,,,
__misssindiaaa, Sun Jan 24 03:48:26 +0000 2021,-86.142922,39.779562, @Primetime_Billy right lmfaoo ,,,,
HayleyHae, Sun Jan 24 03:48:26 +0000 2021,-83.173867,32.678207, i mean Toni can singgg but Mary got HITS BABYYYYY ,,,,
Prifiscifilafa, Sun Jan 24 03:48:26 +0000 2021,-106.162898,28.941866, @gracerioss Seguro si. Le estoy viendo en una película nueva en Netflix y su labio de arriba.hasta deformito y sin moverse. ,,,,
JalenHolmes51, Sun Jan 24 03:48:26 +0000 2021,-84.024428,32.301866, terrible take ,,,,
juntaro2603, Sun Jan 24 03:48:26 +0000 2021,130.439438,33.581696, @sakeubereatsfuk あ~、ヘルメット買わなきゃだ。。。 ,,,,
welewa, Sun Jan 24 03:48:26 +0000 2021,-89.569491,44.900818, @TG22110 @MegLavDC Done! ,,,,
SharonS365, Sun Jan 24 03:48:26 +0000 2021,-82.467211,28.928124, Saw a clip of Rand Paul complaining about President Biden's inagural speech. Me thinks he doth protest too much. Se… https://t.co/PTDpqQM2Vk ,,,,
moriku_bonono, Sun Jan 24 03:48:27 +0000 2021,139.06851,35.056873, ぷりん https://t.co/FMQAw5FiC2 ,,,,
slehama, Sun Jan 24 03:48:27 +0000 2021,141.377235,40.773635, @FE00636709 それ以前の話かも・・・盲目的すぎて、何も見えていない状態で片っ端から駄々っ子のように。たぶん、「見た目は大人、頭脳は子ども」のような感じでは・・・ ,,,,
OsakaFellas, Sun Jan 24 03:48:27 +0000 2021,139.25851,36.177243, 普段仕事中は眠いのに　休みの日は　なかなか寝付けなくて　遠征に向かう直前に眠気が襲ってくるそして最寄駅に近づくと再び眠くなる悪循環コレって歳のせいなのか？ ,,,,
kylecoug, Sun Jan 24 03:48:27 +0000 2021,-111.671789,40.248646, @jlinehan9 @LKrystkowiak ,,,,
Plex1984, Sun Jan 24 03:48:27 +0000 2021,-95.446486,29.838495, @CraigHarmann @jakedc6 When he listened to it after he was done recording, did he actually think it was good?  He h… https://t.co/J8gKwBQgfF ,,,
alemiredesigns, Sun Jan 24 03:48:27 +0000 2021,-75.800141,45.248791, @calicoskatts Thank youuuuu ,,,,
anitarundell, Sun Jan 24 03:48:27 +0000 2021,-82.669467,40.36516, @atriana Ummmmm...then don’t get pregnant if you’re not ready!!! Duh!!!!! ,,,,
TylerLeighSmith, Sun Jan 24 03:48:27 +0000 2021,-95.913642,36.109392, 10/10 recommend getting milk shakes as big as your head and named after The Goonies 🤪 https://t.co/IARE4R4Njk ,,,,
ikekaze, Sun Jan 24 03:48:27 +0000 2021,139.715094,35.729109, 今の悪い池袋の風店主ガクさんが（笑）このお酒たちさんを口開け用にご用意しました。フレッシュ感存分にお楽しみください！ ,,,,
victor_medellin, Sun Jan 24 03:48:27 +0000 2021,-100.168717,25.778679, Ex-presi @migangelgarzam a que equipo de la liga de expansión se iría prestado el buen Julián después de esto ??O… https://t.co/B5kzIJWNaL ,,,,
francisco_zp, Sun Jan 24 03:48:27 +0000 2021,-81.402347,28.299371, @Leitan00 @ManuelValdezRD1 @raquelarbaje @Pao_Glez01 @JEstevez1501 @donfelixSPM @EvelinPlacidoAl @Luismaura1355M… https://t.co/QMc2dmetG2 ,,,,
missfanny07_, Sun Jan 24 03:48:27 +0000 2021,-79.27257,43.629311, That’s a hot pic - I’m sorry but this is really well shot and raw beauty. Open for a surprise 🐱 ,,,,
trkt_P, Sun Jan 24 03:48:27 +0000 2021,139.054982,37.915631, I'm at 新潟伊勢丹 in 新潟市, 新潟県 https://t.co/DDSdRBmAYc ,,,
CormorantHobo, Sun Jan 24 03:48:27 +0000 2021,-117.998733,33.692542, @AtheistsRead I love Enterprise. ,,,,
Kikithenurse, Sun Jan 24 03:48:27 +0000 2021,152.993197,-27.382143, For those who aren't in kangaroo-land: A tennis player who thinks homosexuality = Hitler and apartheid was good is… https://t.co/5Y1TH8sxbM ,,,,
ELL257264321, Sun Jan 24 03:48:28 +0000 2021,-111.634531,33.24237, @KellyannePolls he’s just so you in the shower he’s ready to 🤮 https://t.co/2YKhc9FgmT ,,,,
flutechappy, Sun Jan 24 03:48:28 +0000 2021,139.802111,35.83834, @kiskemaru sさんの趣味のバカ狩り思い出しましたw ,,,,
paddon_steve, Sun Jan 24 03:48:28 +0000 2021,-92.436774,38.304558, Kiss a frog wake up with warts ,,,,
_robbeee, Sun Jan 24 03:48:28 +0000 2021,-100.076888,31.168893, It’s harder to get on ESPN+ than to get into the capital. @espn @ufc @danawhite ,,,,
TotesMonroe, Sun Jan 24 03:48:28 +0000 2021,-84.409791,33.555125, Mood 🤤 ,,,,
accha1999, Sun Jan 24 03:48:28 +0000 2021,141.371063,43.026902, 【限定】Soup Curryで　つけ麺並盛り、ひやスパイシーなスープカレーにこの麺はあうな😊#らーめんつけ麺nofuji#SoupCurryでつけ麺 https://t.co/BuvfWxIJni ,,,,
brady23thomas, Sun Jan 24 03:48:28 +0000 2021,-83.067729,39.849473, This is ridiculous. FIX THE STREAM! ,,,,
veryfamousman, Sun Jan 24 03:48:28 +0000 2021,-122.236828,48.509669, @Grahampa_Cote @WorldWideWob that’s right ,,,,
iFq49mrj3ySR23m, Sun Jan 24 03:48:28 +0000 2021,136.782305,35.447269, @246b73style 優しいG～と呼んで下さい😂👍 ,,,,
ysamarrodri1, Sun Jan 24 03:48:28 +0000 2021,-117.104989,32.810012, white claws &lt; trulys ,,,,
koimaru7, Sun Jan 24 03:48:28 +0000 2021,135.502536,34.677926, スパイスカレーて のネギキーマとスパイスブタドンのあいがけ(๑•ᴗ•)*#🍛 #curry #日曜日もカレーの日 #spicecurry 場所: スパイスカレーて https://t.co/QOUrbqj63N ,,,,
dakotawolfgang, Sun Jan 24 03:48:28 +0000 2021,-100.076888,31.168893, @TRAPAHOLICS @ufc @ESPNPlusHelp RT ,,,,
dhetbtch, Sun Jan 24 03:48:28 +0000 2021,-89.922029,35.133521, 😂😂 ,,,,
AnitaKAcevedo2, Sun Jan 24 03:48:29 +0000 2021,-119.782465,36.786042, @american2084 🖐️ ,,,,
JoeMichaelII, Sun Jan 24 03:48:29 +0000 2021,-73.948775,40.655138, @Druperior When we got that slight taste of it at xoxo bar...need it now https://t.co/xDYXyMmrHC ,,,,
GaganSanFran, Sun Jan 24 03:48:29 +0000 2021,-121.87373,37.331159, @MontyChannel  Good to see you Monty . Love your bowling and aggressive attitude for this game. love your analysis.… https://t.co/jjVKWZbfBP ,,,,
TheRealSyncere, Sun Jan 24 03:48:29 +0000 2021,-87.732013,41.833585, @xdxnnx Switch it up 😏🤤😋😈 ,,,,
a_space_alien, Sun Jan 24 03:48:29 +0000 2021,-87.732013,41.833585, @claudioa76 @mostly_lurking @BigG22177440 @LuckyHeronSay @AOC The exact same can be said of capitalism. Any economi… https://t.co/7Gk4cYVCKj ,,,,
17VIPGIRL, Sun Jan 24 03:48:29 +0000 2021,139.550547,36.17368, @Lb94fYgTQoGVRon まじーすか笑 ,,,,
ma2gQjXosznIT1l, Sun Jan 24 03:48:29 +0000 2021,130.910694,32.894984, https://t.co/nlOpgCrDj2 ,,,,
joey_wrasslin, Sun Jan 24 03:48:29 +0000 2021,-122.343179,47.755871, There clip of @defyNW favorite ref Ref Bumps for the Win Vol. 1 https://t.co/gjzoXtvE2f via @YouTube ,,,,
kossan1108, Sun Jan 24 03:48:29 +0000 2021,139.295785,35.658164, おお！やはりトランプ出馬するのか！今度こそ勝つぜ！#トランプ頑張れ#トランプ支持https://t.co/gdQasFruks https://t.co/37pxZggwL6 ,,,,
Waterdog96761, Sun Jan 24 03:48:29 +0000 2021,-117.434547,47.667438, @Rackkwall83 keep dominating and stay focused! Rasta ,,,,
robataka, Sun Jan 24 03:48:29 +0000 2021,-81.705467,41.49594, @Amy_Siskind Don't mistake spinelessness with being dishonest and unethical ,,,,
ShinozakiH, Sun Jan 24 03:48:29 +0000 2021,139.876108,35.691683, 暇だ…雨だ…☔車でバイク屋めぐりでもしようかな🤔 ,,,,
hayabusa_0627, Sun Jan 24 03:48:30 +0000 2021,139.802111,35.83834, @peach1231stone •́ω•̀)? ,,,,
ratjunn, Sun Jan 24 03:48:30 +0000 2021,115.928319,-32.150101, Coba ambil dari sisi kampung melayu, mangga besar, kemacetan di gatsu... ,,
twigliot, Sun Jan 24 03:48:30 +0000 2021,-122.588975,45.630589, @DreaVilleneuve @TheComicHunter @Susanmvh @katyb_spencer @JoelRRenner @tedbauer2003 @ScottOntiveroz @JimCanto… https://t.co/qvGNZyPuoH ,,,,
eturleye, Sun Jan 24 03:48:30 +0000 2021,-112.124676,33.552863, @Esposition I feel really bad for her young staffer. Most of us do try to maintain relationships with family regard… https://t.co/d8GHjzlBv0 ,,,,
LiccMyHoneyPot, Sun Jan 24 03:48:30 +0000 2021,-100.076888,31.168893, FREE TASK ,,,,
Jordy1975, Sun Jan 24 03:48:30 +0000 2021,-100.293591,25.641718, ... y nos ama. ,,,,
1976FS, Sun Jan 24 03:48:30 +0000 2021,-157.799589,21.319944, 1.2mil recall signatures corrected recall Gavin Go Californian!! ✨🕯🦅🇺🇸✨🌺🦋 https://t.co/XvuFpQk59i ,,,,
erikaford_, Sun Jan 24 03:48:30 +0000 2021,-87.732013,41.833585, https://t.co/Day53fGATA ,,,,
kadinhp, Sun Jan 24 03:48:30 +0000 2021,-86.793917,33.542237, As a former student reporter, the only thing that bothers me here is Coach K's condesention. If the student intends… https://t.co/V3aRsIGPFI ,,,
bradlaplante, Sun Jan 24 03:48:30 +0000 2021,-83.49998,42.570558, .@Lions’ checklist:⚪️ Draft a new QB at #7☑️ Move Matthew Stafford ,,,,
tokia_kyoto, Sun Jan 24 03:48:30 +0000 2021,135.755159,35.006052, FOSSILME3180フォッシルの機械式がひさしぶりに大量入荷中です！スケルトンってなぜか男心動かされるのよね💀ｶｯｺｲｲ https://t.co/DIUUj3FMuJ ,,,,
Mikeroc0sm, Sun Jan 24 03:48:30 +0000 2021,-118.156711,33.809172, Yo who's got those ufc links? Shoot me a dm 🤫🤫🤫 ,,,,
Nickeatscheese1, Sun Jan 24 03:48:30 +0000 2021,-118.411907,34.020789, You've lost your brain 🧠 ,,,,
takato4morikawa, Sun Jan 24 03:48:30 +0000 2021,136.870038,35.990264, @S660Akkun めっちゃ美味しかったです❗💪( 'ω' 💪) ,,,,
cbostick_, Sun Jan 24 03:48:30 +0000 2021,-75.226986,43.11968, I miss theatre, I need an excuse so that I can convert my work wardrobe to 1930s prof/adventure pants with suspende… https://t.co/Z11AF6YZBz ,,,
OneAlyssaa, Sun Jan 24 03:48:30 +0000 2021,-106.41743,31.793368, ME. LITERALLY ME. ,,,,
2FehXkNeWZaBdWB, Sun Jan 24 03:48:30 +0000 2021,136.983436,35.369034, @3195Cymbidium パンダさん🐼お疲れ様でした立ち仕事で疲れたんでしょゆっくり休んで下さいね🏘️🎶🍀🤗 ,,,,
ivettetickless, Sun Jan 24 03:48:30 +0000 2021,-117.992475,33.794812, dear God, may all the food i consume goes straight to my ass and my thighs. amen 🙏🏼 ,,,
MagicMarkee, Sun Jan 24 03:48:31 +0000 2021,-83.804475,27.698682, @josachadha1 Plus I’m a heavy DraftKings player so that’s why lol. I’m pissed they getting blown out right now ,,,,
ash_gibbsblues, Sun Jan 24 03:48:30 +0000 2021,-93.517257,48.587964, Hey @NHL @RogersNHLLive can you fix the glitch with your app! Blues home screen and Kings feed 🤷‍♂️ https://t.co/4qEF6gp1av ,,,,
kmvneyy, Sun Jan 24 03:48:31 +0000 2021,-90.011008,29.982601, this my pussy ,,,,
